source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"MQTTv3.1.1,Syslog,Link-Localaddress(ZeroConf) WDRmode","mqttv3.1.1,syslog,link-localaddress(zeroconf) wdrmode"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,MQTTpublish,mqttpublish
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,System integration,system integration
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Built-in installationaids,built-in installationaids
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Pixelcounter,pixelcounter
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,ApplicationProgramming Interface,applicationprogramming interface
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"OpenAPIforsoftwareintegration,includingVAPIX® Analytics","openapiforsoftwareintegration,includingvapix® analytics"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,andAXISCameraApplicationPlatform(ACAP);,andaxiscameraapplicationplatform(acap);
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,specificationsataxis.com/developer-community.,specificationsataxis.com/developer-community.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,One-clickcloudconnection Applications,one-clickcloudconnection applications
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"ONVIF®ProfileG,ONVIF®ProfileM,ONVIF®ProfileS Included","onvif®profileg,onvif®profilem,onvif®profiles included"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"andONVIF®ProfileT,specificationatonvif.org AXISVideoMotionDetection,activetamperingalarm3","andonvif®profilet,specificationatonvif.org axisvideomotiondetection,activetamperingalarm3"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Supported,supported
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"AXISFenceGuard,AXISLoiteringGuard,AXISMotion","axisfenceguard,axisloiteringguard,axismotion"
